,hour,route,boardings,alightings
141,12,Route 21,1613,1500
85,9,Route 26,1513,1490
221,16,Route 30,1318,1486
91,9,Route 35,1463,1479
147,12,Route 33,1422,1477
65,8,Route 26,1471,1470
109,10,Route 33,1417,1444
107,10,Route 30,1408,1435
179,14,Route 21,1591,1430
239,17,Route 26,1494,1420
241,17,Route 30,1504,1420
160,13,Route 21,1473,1418
159,13,Route 20,1459,1411
126,11,Route 30,1343,1397
69,8,Route 33,1324,1383
197,15,Route 21,1275,1373
124,11,Route 26,1310,1362
205,15,Route 35,1332,1353
162,13,Route 26,1304,1339
225,16,Route 35,1594,1339
128,11,Route 33,1320,1336
105,10,Route 26,1286,1331
196,15,Route 20,1364,1331
71,8,Route 35,1400,1330
122,11,Route 21,1325,1328
80,9,Route 17 (Route 1 Ride),1485,1316
245,17,Route 35,1572,1301
119,11,Route 17 (Route 1 Ride),1256,1293
262,18,Route 32,1028,1292
89,9,Route 33,1243,1292
22,6,Route 20,1456,1272
219,16,Route 26,1383,1272
164,13,Route 30,1257,1251
24,6,Route 24,1782,1241
47,7,Route 30,1286,1228
199,15,Route 26,1286,1215
187,14,Route 35,1176,1199
203,15,Route 33,1231,1194
143,12,Route 26,1166,1190
138,12,Route 17 (Route 1 Ride),1257,1180
145,12,Route 30,1123,1151
166,13,Route 33,1081,1141
178,14,Route 20,1108,1136
28,6,Route 32,1565,1134
201,15,Route 30,1193,1119
243,17,Route 33,1140,1117
157,13,Route 17 (Route 1 Ride),1083,1107
136,12,Route 13,1063,1103
100,10,Route 17 (Route 1 Ride),1087,1084
176,14,Route 17 (Route 1 Ride),1039,1083
185,14,Route 33,1096,1065
183,14,Route 30,959,1057
212,16,Route 13,1007,1048
257,18,Route 21,875,1033
181,14,Route 26,1016,1017
51,7,Route 35,1018,988
155,13,Route 13,982,986
23,6,Route 21,1281,981
256,18,Route 20,1052,886
261,18,Route 30,677,886
29,6,Route 33,1001,855
27,6,Route 30,932,846
265,18,Route 35,1138,830
232,17,Route 13,777,828
254,18,Route 17 (Route 1 Ride),804,824
192,15,Route 13,832,819
25,6,Route 26,871,774
263,18,Route 33,743,767
98,10,Route 13,754,763
117,11,Route 13,816,760
73,8,Route 37,746,699
174,14,Route 13,685,695
38,7,Route 13,653,680
78,9,Route 13,710,673
244,17,Route 34,614,644
259,18,Route 26,832,642
53,7,Route 37,747,615
50,7,Route 34,541,599
224,16,Route 34,577,596
92,9,Route 36,740,596
58,8,Route 13,598,585
274,19,Route 18,365,578
86,9,Route 28,609,556
70,8,Route 34,514,555
72,8,Route 36,602,553
112,10,Route 36,572,552
33,6,Route 37,578,541
226,16,Route 36,497,536
52,7,Route 36,480,504
150,12,Route 36,670,503
66,8,Route 28,455,495
106,10,Route 28,471,494
206,15,Route 36,537,494
252,18,Route 13,452,489
30,6,Route 34,530,480
131,11,Route 36,604,474
46,7,Route 28,472,474
18,6,Route 13,551,472
125,11,Route 28,385,456
110,10,Route 34,452,451
144,12,Route 28,521,448
246,17,Route 36,485,447
129,11,Route 34,441,439
169,13,Route 36,422,436
90,9,Route 34,433,429
188,14,Route 36,396,415
204,15,Route 34,424,412
163,13,Route 28,345,404
32,6,Route 36,452,394
220,16,Route 28,325,330
114,10,Route 51 Loop A,312,320
227,16,Route 37,309,309
133,11,Route 51 Loop A,278,293
93,9,Route 37,266,293
240,17,Route 28,257,280
267,18,Route 37,267,275
260,18,Route 28,249,267
31,6,Route 35,360,263
55,7,Route 51 Loop A,247,247
75,8,Route 51 Loop A,239,244
148,12,Route 34,231,243
182,14,Route 28,201,239
247,17,Route 37,273,237
152,12,Route 51 Loop A,238,236
200,15,Route 28,234,219
26,6,Route 28,213,215
95,9,Route 51 Loop A,208,204
186,14,Route 34,191,199
266,18,Route 36,164,194
35,6,Route 51 Loop A,185,193
229,16,Route 51 Loop A,197,192
283,19,Route 35,106,181
167,13,Route 34,174,167
171,13,Route 51 Loop A,158,165
77,8,Route 51 Loop X,165,165
57,7,Route 51 Loop X,140,150
272,19,Route 16,61,139
209,15,Route 51 Loop A,123,135
153,12,Route 51 Loop B,128,123
276,19,Route 21,58,113
277,19,Route 24,64,112
275,19,Route 20,53,107
249,17,Route 51 Loop A,105,102
96,9,Route 51 Loop B,98,99
56,7,Route 51 Loop B,88,98
190,14,Route 51 Loop A,91,93
250,17,Route 51 Loop B,91,91
115,10,Route 51 Loop B,78,83
76,8,Route 51 Loop B,85,82
271,19,Route 13,64,82
113,10,Route 51,81,80
264,18,Route 34,26,79
172,13,Route 51 Loop B,79,76
268,18,Route 51 Loop A,71,76
94,9,Route 51,61,68
134,11,Route 51 Loop B,72,68
132,11,Route 51,50,54
74,8,Route 51,55,53
7,5,Route 24,39,51
1,5,Route 13,70,51
54,7,Route 51,46,49
189,14,Route 51,49,49
284,19,Route 37,29,41
36,6,Route 51 Loop B,48,40
11,5,Route 32,36,40
4,5,Route 18,91,39
228,16,Route 51,38,38
151,12,Route 51,44,38
191,14,Route 51 Loop B,27,35
208,15,Route 51,30,34
230,16,Route 51 Loop B,29,28
15,5,Route 36,24,27
279,19,Route 28,13,25
135,11,Route 51 Loop X,19,23
3,5,Route 17 (Route 1 Ride),27,22
281,19,Route 32,10,20
248,17,Route 51,31,19
170,13,Route 51,12,19
37,6,Route 51 Loop X,17,18
6,5,Route 21,17,17
210,15,Route 51 Loop B,17,16
173,13,Route 51 Loop X,14,15
97,9,Route 51 Loop X,15,15
34,6,Route 51,14,14
231,16,Route 51 Loop X,15,13
251,17,Route 51 Loop X,10,12
2,5,Route 16,9,11
116,10,Route 51 Loop X,13,11
273,19,Route 17 (Route 1 Ride),5,11
280,19,Route 30,3,10
154,12,Route 51 Loop X,11,10
8,5,Route 26,13,9
5,5,Route 20,22,9
278,19,Route 26,0,8
270,18,Route 51 Loop X,7,7
12,5,Route 33,8,6
0,4,Route 17 (Route 1 Ride),4,5
207,15,Route 37,23,5
13,5,Route 34,10,4
16,5,Route 37,4,4
10,5,Route 30,11,4
285,20,Route 35,3,4
14,5,Route 35,2,4
211,15,Route 51 Loop X,2,3
282,19,Route 33,1,3
9,5,Route 28,2,2
269,18,Route 51 Loop B,1,1
17,5,Route 51 Loop B,1,1
